Fecha,Producto,Division,Precio,Variacion,Porcentaje
2025-06-03 11:34,Mandarina x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-03 11:34,Naranja Jugo x 1 Kg,Frescos,2580.0,0.0,0.0
2025-06-03 11:34,Banana x 1 Kg,Frescos,3980.0,0.0,0.0
2025-06-03 11:34,Pera x 1 Kg,Frescos,1690.0,0.0,0.0
2025-06-03 11:34,Asado x Kg,Frescos,13600.0,0.0,0.0
2025-06-03 11:34,Carnaza Comun x Kg,Frescos,10500.0,0.0,0.0
2025-06-03 11:34,Paleta en Churrasco Envasado al Vacío x 1 Kg.,Frescos,14100.0,0.0,0.0
2025-06-03 11:34,Carne picada Especial Atmósfera Modificada 500 Gr,Frescos,14000.0,0.0,0.0
2025-06-03 11:34,Milanesa De Nalga Carnes De La Estancia Envasado Al Vacío X 1 Kg,Frescos,8450.0,0.0,0.0
2025-06-03 11:34,Pollo Entero x 1 Kg (precio por kg),Frescos,2990.0,0.0,0.0
2025-06-03 11:34,Filet de Merluza Rebozado a la Romana Dia 500 Gr (Carne de pescado - opción rebozada),Frescos,9990.0,0.0,0.0
2025-06-03 11:34,Leche Entera DIA Sachet 1 Lt.,Frescos,13900.0,0.0,0.0
2025-06-03 11:34,Queso Crema DIA Normandia 290 Gr.,Frescos,2990.0,0.0,0.0
2025-06-03 11:34,Queso Cremoso Dia X Kg. (Proxy para Queso Cuartirolo),Frescos,12890.0,0.0,0.0
2025-06-03 11:34,Queso Rallado DIA 150 Gr,Frescos,4700.0,510.0,12.17183770883055
2025-06-03 11:34,"Yogur Bebible Frutilla La Serenisima 1,1 Lt.",Frescos,7380.0,0.0,0.0
2025-06-03 11:34,"Aceite de Girasol Natura 1,5 Lt.",Almacén,4470.0,0.0,0.0
2025-06-03 11:34,Gaseosa Coca-Cola Sabor Original 2.25 Lt.,Bebidas alcohólicas y tabaco,8400.0,0.0,0.0
2025-06-03 11:34,Sifon De Soda Sin Tacc Dia 2 Lt.,Bebidas alcohólicas y tabaco,2900.0,0.0,0.0
2025-06-03 11:34,Cerveza Lager Oslava 1 Lt.,Bebidas alcohólicas y tabaco,3380.0,800.0,31.007751937984494
2025-06-03 11:34,Sal Fina en Paquete Celusal 500 Gr.,Almacén,1325.0,0.0,0.0
2025-06-03 11:34,Vinagre de Alcohol Dia 1 Lt.,Almacén,1050.0,0.0,0.0
2025-06-03 11:34,Dolca Suave Nescafé x 100 Gr. (Instantáneo),Almacén,7190.0,0.0,0.0
2025-06-03 11:34,Yerba Mate Taragüi 4 Flex 500 Gr.,Almacén,4500.0,0.0,0.0
2025-06-03 11:34,Pan Mignon 250 Gr,Panificados,918.0,0.0,0.0
2025-06-03 11:34,Vainillas DIA 148 Gr.,Panificados,2500.0,0.0,0.0
2025-06-03 11:34,Harina de Trigo 000 DIA 1 Kg,Almacén,1580.0,0.0,0.0
2025-06-03 11:34,Polenta Prestopronta 500 Gr.,Almacén,1325.0,0.0,0.0
2025-06-03 11:34,Fideos Tirabuzón Favorita 500 Gr,Almacén,3580.0,580.0,19.333333333333332
2025-06-03 11:34,Dulce de Batata Emeth 500 Gr,Almacén,2500.0,0.0,0.0
2025-06-03 11:34,Mermelada BC Durazno 390 Gr,Almacén,3175.0,0.0,0.0
2025-06-03 11:34,Lentejas Dia 400 Gr,Almacén,2100.0,0.0,0.0
2025-06-03 11:34,Puré de Tomate Dia 520 Gr.,Almacén,790.0,0.0,0.0
2025-06-03 11:34,Jamón Cocido Fetas Finas Dia 200 Gr (Ejemplo para Paleta Cocida),Frescos,4290.0,935.0,27.86885245901639
2025-06-03 11:34,Salamín Cagnoli Picado Grueso 145 Gr (Ejemplo para Salame),Frescos,5290.0,0.0,0.0
2025-06-03 11:34,Huevo Blanco Grande x 12 unidades,Frescos,7980.0,0.0,0.0
2025-06-03 11:34,Manteca DIA Calidad Extra 200 Gr,Frescos,3070.0,70.0,2.3333333333333335
2025-06-03 11:34,Vino Tinto Cabernet Buenos Aires 750 Ml.,Bebidas alcohólicas y tabaco,4700.0,0.0,0.0
2025-06-03 11:34,Mayonesa DIA 220 Ml.,Almacén,725.0,0.0,0.0
2025-06-03 11:34,Caldo De Verdura Maggi x 12 Ud.,Almacén,1480.0,0.0,0.0
2025-06-03 11:34,Arveja Congelada DIA 350 Gr,Almacén,2590.0,600.0,30.15075376884422
2025-06-03 11:34,"Jugo en Polvo Light Dia 7,5 Gr",Bebidas alcohólicas y tabaco,280.0,0.0,0.0
